"#ID","domain","phylum","class","order","family","genus","species"
"NBDL-HR5S2AW5H4Q1QG","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Haemulidae","Plectorhinchus","Plectorhinchus albovittatus"
"NBDL-J1XVBWRZMV7TN0","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus nobilis"
"NBDL-HXDQPBEDHMV4QD","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Coryphaenoides","Coryphaenoides dossenus"
"NBDL-HRXJ1RFNJ7FB0C","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Oxycheilinus","Oxycheilinus digrammus"
"NBDL-J1XVBWHSGVVPHC","Eukaryota","Chordata","Actinopteri","Aulopiformes","Paraulopidae","Paraulopus","Paraulopus nigripinnis"
"NBDL-HK3T5NRBGR6BQA","Eukaryota","Chordata","Actinopteri","Scombriformes","Gempylidae","Neoepinnula","Neoepinnula orientalis"
"NBDL-HK3QHXT9PPWA94","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Lutjanidae","Lutjanus","Lutjanus kasmira"
"NBDL-HK3R5BQAQXT53P","Eukaryota","Chordata","Actinopteri","Anguilliformes","Synaphobranchidae","Synaphobranchus","Synaphobranchus oregoni"
"NBDL-HK3SXDXMQ35DTQ","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Ophidiidae","Genypterus","Genypterus blacodes"
"NBDL-HK3T5NQMHQ1X7X","Eukaryota","Chordata","Actinopteri","Carangiformes","Bothidae","Psettina","Psettina multisquamea"
"NBDL-HR5S2AZ6P4KK6S","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Novaculichthys","Novaculichthys taeniourus"
"NBDL-HRXJ1RJ2G74HYP","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Chaetodontidae","Prognathodes","Prognathodes geminus"
"NBDL-HK3SJ4DRGNRTMD","Eukaryota","Chordata","Actinopteri","Carangiformes","Echeneidae","Remora","Remora brachyptera"
"NBDL-JFE9FMEQKY4H4D","Eukaryota","Chordata","Actinopteri","Perciformes","Triglidae","Satyrichthys","Satyrichthys welchi"
"NBDL-HK3R5BPGKXW36E","Eukaryota","Chordata","Actinopteri","Anguilliformes","Congridae","Conger","Conger monganius"
"NBDL-HXDQPC0CG6Z9W2","Eukaryota","Chordata","Actinopteri","Gobiiformes","Apogonidae","Ostorhinchus","Ostorhinchus cyanosoma"
"NBDL-HK4B09H7PE7H1Z","Eukaryota","Chordata","Actinopteri","Carangiformes","Soleidae","Zebrias","Zebrias craticulus"
"NBDL-HR5SFP4AGM4FND","Eukaryota","Chordata","Actinopteri","Blenniiformes","Pomacentridae","Abudefduf","Abudefduf whitleyi"
"NBDL-HXDQPBQ0QM984N","Eukaryota","Chordata","Actinopteri","Blenniiformes","Clinidae","Heteroclinus","Heteroclinus perspicillatus"
"NBDL-HK3SPRSVJG4BHW","Eukaryota","Chordata","Actinopteri","Perciformes","Epinephelidae","Epinephelus","Epinephelus bleekeri"
"NBDL-HHG28F2GMBEXMS","Eukaryota","Chordata","Actinopteri","Trachichthyiformes","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus"
"NBDL-HK3SPRQWKH33VB","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Haemulidae","Plectorhinchus","Plectorhinchus gibbosus"
"NBDL-HK3SPRRVJG2X5W","Eukaryota","Chordata","Actinopteri","Alepocephaliformes","Platytroctidae","Persparsia","Persparsia kopua"
"NBDL-HHG28F58QB4SRE","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Leiognathidae","Equulites","Equulites elongatus"
"NBDL-HHG28F13NBH46R","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampadena","Lampadena notialis"
"NBDL-HK3S9B6RK3CS2E","Eukaryota","Chordata","Actinopteri","Ophidiiformes","Carapidae","Echiodon","Echiodon cryomargarites"
"NBDL-HK3RZTPSQ4W7K5","Eukaryota","Chordata","Actinopteri","Beryciformes","Berycidae","Centroberyx","Centroberyx australis"
"NBDL-HXDQPBT9HNWF57","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Torquigener","Torquigener tuberculiferus"
"NBDL-HK3QV5NRH4MM0M","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Mullidae","Parupeneus","Parupeneus spilurus"
"NBDL-HK3QFJ1RQ4JGRX","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Pantolabus","Pantolabus radiatus"
"NBDL-HHG28F4JKB9CRP","Eukaryota","Chordata","Actinopteri","Carangiformes","Bothidae","Grammatobothus","Grammatobothus pennatus"
"NBDL-HHG28F0XHBG0KG","Eukaryota","Chordata","Actinopteri","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia affinis"
"NBDL-HHG28F3HJBCHN5","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Cetonurus","Cetonurus globiceps"
"NBDL-HXDQPBXHPNCCT0","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diaphus","Diaphus signatus"
